#Blender report,,,,,,,,,,
#Folder = S:\sapling\blender_djm\,,,,,,,,,,
#Filename = S:\sapling\blender_djm\car_zombie_crusher01.blend,,,,,,,,,,
#Date = DATE,,,,,,,,,,
#Columns, Location,,, Dimensions,,, Scale,,,
Name, loc_x, loc_y, loc_z, dim_x, dim_y, dim_z, sc_x,sc_y,sc_z,
Light.004,-0.6707124710083008,9.640802383422852,2.678791046142578,0.0,0.0,0.0,1.0,1.0,1.0,
Light.005,-17.884958267211914,-8.27731704711914,2.9010894298553467,0.0,0.0,0.0,1.0,1.0,1.0,
light_dash,-1.695797324180603,-12.592918395996094,7.796183109283447,0.0,0.0,0.0,1.0,1.0,1.0,
light_roof_1,-0.18985438346862793,-2.8286943435668945,10.792377471923828,0.0,0.0,0.0,1.0,1.0,1.0,
light_roof_1.001,-0.18985438346862793,-6.7378249168396,10.792377471923828,0.0,0.0,0.0,1.0,1.0,1.0,
light_roof_1.002,-0.18985438346862793,-10.968839645385742,10.792377471923828,0.0,0.0,0.0,1.0,1.0,1.0,
mid_suspension,0.0,-0.2278575897216797,0.0,1.6966660022735596,8.393033027648926,2.84584379196167,0.9435915350914001,0.9435915350914001,0.9435915350914001,
rear_axle,0.0,-0.2278575897216797,0.0,18.367029190063477,34.661224365234375,6.149944305419922,0.9435915350914001,0.9435915350914001,0.9435915350914001,
rear_suspension,0.0,-0.2278575897216797,0.0,14.012258529663086,2.1950342655181885,2.4138128757476807,0.9435915350914001,0.9435915350914001,0.9435915350914001,
ski,7.7092976570129395,-28.04592514038086,6.142328262329102,14.599210739135742,22.72576332092285,2.3872110843658447,1.0,1.0,1.0,
steering_Wheel,-1.889068365097046,-12.80820083618164,6.561953067779541,1.963774561882019,1.3589816093444824,1.9986352920532227,0.07155827432870865,0.06396329402923584,0.44525468349456787,
steps,-3.943804979324341,-11.126992225646973,4.331308364868164,7.25740909576416,4.400912761688232,2.030674457550049,0.6660072207450867,2.0767157077789307,0.2149684876203537,
trapdoor,-0.4039499759674072,-0.22025060653686523,4.091765403747559,2.0,2.0,0.9533587694168091,1.0,1.0,0.19985657930374146,
trapdoor.001,3.577883005142212,-4.213178634643555,12.273322105407715,2.0,2.0,0.5235792398452759,1.0,1.0,0.1097601056098938,
trapdoor.003,-3.4143431186676025,-4.213178634643555,12.273322105407715,2.0,2.0,0.5235792398452759,1.0,1.0,0.1097601056098938,
wheel_centre,-10.405241012573242,-0.3140277862548828,0.0,3.2421092987060547,3.2421092987060547,0.2498156875371933,4.0353522300720215,4.0353522300720215,4.0353522300720215,
wheel_centre.001,9.976309776306152,-0.3615139126777649,-0.3185528516769409,3.3301262855529785,3.3301262855529785,0.25659769773483276,4.144904136657715,4.144904136657715,4.144904136657715,
wheel_fr_Left_centre,1.4825793504714966,-17.38327980041504,-2.5096781253814697,1.209977149963379,1.209977149963379,0.0932328999042511,1.5060206651687622,1.5060206651687622,1.5060206651687622,
wheel_fr_right_centre,-1.2859535217285156,-17.38327980041504,-2.4971835613250732,1.209977149963379,1.209977149963379,0.0932328999042511,1.5060206651687622,1.5060206651687622,1.5060206651687622,
wheel_hub,-10.405241012573242,-0.3140277862548828,0.0,4.795410633087158,4.795410633087158,0.09143958985805511,4.0353522300720215,4.0353522300720215,4.0353522300720215,
wheel_hub.001,9.90347957611084,-0.3615139126777649,-0.3185528516769409,4.925596714019775,4.925596714019775,0.09392198920249939,4.144904136657715,4.144904136657715,4.144904136657715,
wheel_tyre_front_left,1.616021990776062,-17.348121643066406,-2.4971835613250732,2.3424313068389893,2.3424313068389893,1.1618956327438354,1.1712156534194946,1.1712156534194946,1.1712156534194946,
wheel_tyre_front_right,-1.419395923614502,-17.348121643066406,-2.5096781253814697,2.3424313068389893,2.3424313068389893,1.1618956327438354,1.1712156534194946,1.1712156534194946,1.1712156534194946,
wheel_tyre_rear_left,9.90347957611084,-0.3615139126777649,-0.3185528516769409,8.28980827331543,8.28980827331543,4.1119208335876465,4.144904136657715,4.144904136657715,4.144904136657715,
wheel_tyre_rear_right,-10.405241012573242,-0.3140277862548828,0.0,8.070704460144043,8.070704460144043,4.003241062164307,4.0353522300720215,4.0353522300720215,4.0353522300720215,
